fame,segment,name_ko,stock_code,market,sector,group,homepage,ceo,listed,done,note
high,listed,신한지주,055550,KOSPI,기타 금융업,신한금융,http://www.shinhangroup.com,진옥동,2001-09-10,Y,
high,listed,삼성SDI,006400,KOSPI,일차전지 및 이차전지 제조업,삼성,http://www.samsungsdi.co.kr,최주선,1979-02-27,Y,
high,listed,SK,034730,KOSPI,기타 금융업,SK,http://www.sk-inc.com/,"최태원, 장용호",2009-11-11,,
high,listed,HD현대일렉트릭,267260,KOSPI,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",HD현대,http://www.hd-hyundaielectric.com,김영기,2017-05-10,,
high,listed,NAVER,035420,KOSPI,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",네이버,http://www.navercorp.com,최수연,2008-11-28,Y,
high,listed,셀트리온,068270,KOSPI,기초 의약물질 제조업,,http://www.celltrion.com,"기우성, 서진석",2018-02-09,Y,
high,listed,LG전자,066570,KOSPI,통신 및 방송 장비 제조업,LG,http://www.lge.co.kr,류재철,2002-04-22,Y,
high,listed,한화오션,042660,KOSPI,선박 및 보트 건조업,한화,http://www.hanwhaocean.com/pub/main/index.do,김희철,2001-02-02,Y,
high,listed,한미반도체,042700,KOSPI,특수 목적용 기계 제조업,,http://www.hanmisemi.com,곽동신,2005-07-22,,
high,listed,LS ELECTRIC,010120,KOSPI,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",LS,http://www.ls-electric.com,"구자균, 채대석",1994-07-11,,
high,listed,하나금융지주,086790,KOSPI,기타 금융업,하나금융,http://www.hanafn.com,함영주,2005-12-12,Y,
high,listed,효성중공업,298040,KOSPI,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",효성,http://www.hyosungheavyindustries.com,우태희,2018-07-13,,
high,listed,두산,000150,KOSPI,전자부품 제조업,두산,http://www.doosancorp.co.kr,"박정원, 김민철, 유승우",1973-06-29,Y,
high,listed,POSCO홀딩스,005490,KOSPI,1차 철강 제조업,포스코,http://www.posco-inc.com,"대표이사 회장  장인화,
대표이사 사장  이주태",1988-06-10,Y,
high,listed,미래에셋증권,006800,KOSPI,금융 지원 서비스업,미래에셋,http://securities.miraeasset.com,"김미섭, 허선호",1975-09-30,Y,
high,listed,삼성화재,000810,KOSPI,보험업,삼성,http://www.samsungfire.com,이문화,1975-06-30,Y,
high,listed,HD한국조선해양,009540,KOSPI,기타 금융업,,http://www.ksoe.co.kr,"정기선, 김형관 (각자 대표이사)",1999-08-24,,
